#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Attitude__|Label|Polarity


#Text=Huh?
1-1	0-3	Huh	Judgment	neg	
9-4	497-505	credited	Judgment[8]	pos[8]	
9-5	506-509	for	Judgment[8]	pos[8]	
9-6	510-518	steering	Judgment[8]	pos[8]	
9-7	519-524	Trump	Judgment[8]	pos[8]	
9-8	525-527	to	Judgment[8]	pos[8]	
9-9	528-535	victory	Judgment[8]	pos[8]	
9-10	535-536	.	_	_	

#Text=He also had Hope Hicks as his spokesperson.
10-1	537-539	He	Judgment[9]	pos[9]	
10-2	540-544	also	Judgment[9]	pos[9]	
10-3	545-548	had	Judgment[9]	pos[9]	
10-4	549-553	Hope	Judgment[9]	pos[9]	
10-5	554-559	Hicks	Judgment[9]	pos[9]	
10-6	560-562	as	Judgment[9]	pos[9]	
10-7	563-566	his	Judgment[9]	pos[9]	
10-8	567-579	spokesperson	Judgment[9]	pos[9]	
10-9	579-580	.	_	_	

#Text=Trump is not afraid to hire strong and powerful and outspoken women
11-1	581-586	Trump	_	_	
11-2	587-589	is	_	_	
11-3	590-593	not	Judgment[10]	pos[10]	
11-4	594-600	afraid	Judgment[10]	pos[10]	
11-5	601-603	to	Judgment[10]	pos[10]	
11-6	604-608	hire	Judgment[10]	pos[10]	
11-7	609-615	strong	Judgment[10]|Judgment[11]	pos[10]|pos[11]	
11-8	616-619	and	Judgment[10]|Judgment[11]	pos[10]|pos[11]	
11-9	620-628	powerful	Judgment[10]|Judgment[11]	pos[10]|pos[11]	
11-10	629-632	and	Judgment[10]|Judgment[11]	pos[10]|pos[11]	
11-11	633-642	outspoken	Judgment[10]|Judgment[11]	pos[10]|pos[11]	
11-12	643-648	women	Judgment[10]	pos[10]	
